Lap time (sec),FuelCount (USgal),Thr_Pos (%)
108.45,1.189,77.8
108.48,1.198,78.38
110.61,1.152,75.13
108.4,1.185,77.39
108.09,1.19,77.98
109.91,1.176,77.01
109.32,1.189,78.16
109.65,1.168,76.17
110.83,1.159,75.84
110.31,1.158,75.55
106.63,1.224,78.76
106.42,1.232,79.37
107.33,1.204,78.02
107.2,1.205,78.63
107.48,1.212,78.93
107.03,1.22,78.95
106.76,1.223,79.6
109.14,1.196,77.32
107.09,1.22,79.03
106.33,1.225,80
107.76,1.203,78.81
107.37,1.21,79.5
109.24,1.148,74.01
105.66,1.237,81.11
109.55,1.188,77.05
107.11,1.22,80.15
108.64,1.214,77.46
106.95,1.229,79.31
106.77,1.217,80.31
106.51,1.227,80.8
106.29,1.235,80.55
106.28,1.235,80.64
109.9,1.208,77.57
110.88,1.187,76.13
109.99,1.205,78.05
108.15,1.219,79.82
110.32,1.178,76.18
109.37,1.198,77.49
109.01,1.216,77.64
110.38,1.151,76.31
107.67,1.22,78.8
108.03,1.194,78.23
109.17,1.177,76.75
110.66,1.169,75.97
110.5,1.166,75.86
110.69,1.178,76.57
110.51,1.175,76.21
110.39,1.191,76.94
110.12,1.184,76.68
109.99,1.183,77.14
110.54,1.193,77.13
109.8,1.198,77.83
110.62,1.184,76.69
110.79,1.177,76.23
110.26,1.192,76.09
110.43,1.182,76.04
110.68,1.173,75.58
110.78,1.18,75.69
110.96,1.16,74.78
110.13,1.173,76.24
109.82,1.177,76.35
109.93,1.174,76.31
110.28,1.173,75.79
110.42,1.165,75.74
109.72,1.184,77.03
110.68,1.166,76.25
109.96,1.158,75.13
110.12,1.149,75.09
110.03,1.15,75.71
110.06,1.146,75.33
110.34,1.121,74.08
110.41,1.122,73.74
110.81,1.111,73.54
110.53,1.147,74.75
110.1,1.167,75.95
110.96,1.151,74.8
110.63,1.116,73.65
110.78,1.12,73.62
110.63,1.189,75.04
110.29,1.146,75.41
110.68,1.184,76.84
109.72,1.153,75.69
109.4,1.164,76.21
110.98,1.117,73.17
110.42,1.146,74.81
110.23,1.169,75.14
110.56,1.142,74.81
110.88,1.148,75.05
